1667341926.173111,10.10.1.100:38930,0,1,21,
1667341926.173540,10.10.1.100:38928,,,21,
1667341926.199261,10.10.1.100:38926,,,24,24
1667341926.199548,10.10.1.100:38930,0,1,21,
1667341926.199994,10.10.1.100:38928,,,21,
1667341926.225717,10.10.1.100:38926,,,24,24
1667341926.226000,10.10.1.100:38930,0,1,21,
1667341926.226423,10.10.1.100:38928,,,21,
1667341926.251827,10.10.1.100:38926,,,24,24
1667341926.252090,10.10.1.100:38930,0,1,21,
1667341926.252529,10.10.1.100:38928,,,21,
1667341926.277835,10.10.1.100:38926,,,24,24
1667341926.278107,10.10.1.100:38930,0,1,21,
1667341926.278551,10.10.1.100:38928,,,21,
1667341926.303934,10.10.1.100:38926,,,24,24
1667341926.304223,10.10.1.100:38930,0,1,21,
1667341926.304673,10.10.1.100:38928,,,21,
1667341926.329954,10.10.1.100:38926,,,24,24
1667341926.330252,10.10.1.100:38930,0,1,21,
1667341926.330673,10.10.1.100:38928,,,22,
1667341926.356129,10.10.1.100:38926,,,24,24
1667341926.356421,10.10.1.100:38930,0,1,21,
1667341926.356858,10.10.1.100:38928,,,24,
1667341926.382505,10.10.1.100:38926,,,24,24
1667341926.382783,10.10.1.100:38930,0,1,21,
1667341926.383208,10.10.1.100:38928,,,24,24
1667341926.408558,10.10.1.100:38926,,,24,24
1667341926.408835,10.10.1.100:38930,0,1,21,
1667341926.409278,10.10.1.100:38928,,,24,24
1667341926.434923,10.10.1.100:38926,,,24,24
1667341926.435214,10.10.1.100:38930,0,1,21,
1667341926.435629,10.10.1.100:38928,,,24,24
1667341926.461087,10.10.1.100:38926,,,24,24
1667341926.461381,10.10.1.100:38930,0,1,21,
1667341926.461840,10.10.1.100:38928,,,24,24
1667341926.488194,10.10.1.100:38926,,,24,24
1667341926.488474,10.10.1.100:38930,0,1,21,
1667341926.488900,10.10.1.100:38928,,,24,24
1667341926.514240,10.10.1.100:38926,,,24,24
1667341926.514532,10.10.1.100:38930,0,1,21,
1667341926.514961,10.10.1.100:38928,,,24,24
1667341926.540336,10.10.1.100:38926,,,24,24
1667341926.540610,10.10.1.100:38930,0,1,21,
1667341926.541031,10.10.1.100:38928,,,24,24
1667341926.566333,10.10.1.100:38926,,,24,24
1667341926.566617,10.10.1.100:38930,0,1,21,
1667341926.567039,10.10.1.100:38928,,,24,24
1667341926.592452,10.10.1.100:38926,,,24,24
1667341926.592724,10.10.1.100:38930,0,1,23,
1667341926.593147,10.10.1.100:38928,,,24,24
1667341926.618436,10.10.1.100:38926,,,24,24
1667341926.618708,10.10.1.100:38930,0,1,25,
1667341926.619168,10.10.1.100:38928,,,24,24
1667341926.644729,10.10.1.100:38926,,,24,24
1667341926.645011,10.10.1.100:38930,0,1,27,
1667341926.645437,10.10.1.100:38928,,,24,24
1667341926.670818,10.10.1.100:38926,,,24,24
1667341926.671112,10.10.1.100:38930,0,1,29,
1667341926.671587,10.10.1.100:38928,,,24,24
1667341926.697304,10.10.1.100:38926,,,24,24
1667341926.697585,10.10.1.100:38930,0,1,29,29
1667341926.697997,10.10.1.100:38928,,,24,24
1667341926.723401,10.10.1.100:38926,,,24,24
1667341926.723674,10.10.1.100:38930,0,1,29,29
1667341926.724132,10.10.1.100:38928,,,24,24
1667341926.749417,10.10.1.100:38926,,,24,24
1667341926.749717,10.10.1.100:38930,0,1,29,29
