1667340703.375544,10.10.1.100:38910,,,40,
1667340703.375748,10.10.1.100:38914,0,1,21,
1667340703.402323,10.10.1.100:38912,,,29,
1667340703.402538,10.10.1.100:38910,,,40,
1667340703.402743,10.10.1.100:38914,0,1,21,
1667340703.428611,10.10.1.100:38912,,,33,
1667340703.428810,10.10.1.100:38910,,,40,
1667340703.429029,10.10.1.100:38914,0,1,21,
1667340703.455216,10.10.1.100:38912,,,33,
1667340703.455430,10.10.1.100:38910,,,40,
1667340703.455635,10.10.1.100:38914,0,1,21,
1667340703.481716,10.10.1.100:38912,,,35,
1667340703.481887,10.10.1.100:38910,,,40,
1667340703.482058,10.10.1.100:38914,0,1,21,
1667340703.508266,10.10.1.100:38912,,,37,
1667340703.508494,10.10.1.100:38910,,,41,
1667340703.508706,10.10.1.100:38914,0,1,21,
1667340703.534847,10.10.1.100:38912,,,39,
1667340703.535020,10.10.1.100:38910,,,41,
1667340703.535190,10.10.1.100:38914,0,1,21,
1667340703.561269,10.10.1.100:38912,,,39,
1667340703.561499,10.10.1.100:38910,,,41,
1667340703.561731,10.10.1.100:38914,0,1,22,
1667340703.587789,10.10.1.100:38912,,,40,
1667340703.587985,10.10.1.100:38910,,,41,
1667340703.588200,10.10.1.100:38914,0,1,24,
1667340703.614370,10.10.1.100:38912,,,40,
1667340703.614554,10.10.1.100:38910,,,41,
1667340703.614725,10.10.1.100:38914,0,1,27,
1667340703.640661,10.10.1.100:38912,,,40,
1667340703.640899,10.10.1.100:38910,,,41,
1667340703.641113,10.10.1.100:38914,0,1,29,
1667340703.667548,10.10.1.100:38912,,,40,
1667340703.667733,10.10.1.100:38910,,,41,
1667340703.667955,10.10.1.100:38914,0,1,31,
1667340703.693932,10.10.1.100:38912,,,40,
1667340703.694145,10.10.1.100:38910,,,41,
1667340703.694317,10.10.1.100:38914,0,1,33,
1667340703.720416,10.10.1.100:38912,,,40,
1667340703.720633,10.10.1.100:38910,,,41,
1667340703.720827,10.10.1.100:38914,0,1,36,
1667340703.746980,10.10.1.100:38912,,,40,
1667340703.747201,10.10.1.100:38910,,,41,
1667340703.747416,10.10.1.100:38914,0,1,37,
1667340703.773489,10.10.1.100:38912,,,40,
1667340703.773732,10.10.1.100:38910,,,41,
1667340703.773968,10.10.1.100:38914,0,1,39,
1667340703.800149,10.10.1.100:38912,,,40,
1667340703.800364,10.10.1.100:38910,,,43,
1667340703.800580,10.10.1.100:38914,0,1,39,
1667340703.826648,10.10.1.100:38912,,,40,
1667340703.826830,10.10.1.100:38910,,,45,
1667340703.827001,10.10.1.100:38914,0,1,40,
1667340703.853321,10.10.1.100:38912,,,40,
1667340703.853549,10.10.1.100:38910,,,48,
1667340703.853763,10.10.1.100:38914,0,1,40,
1667340703.879969,10.10.1.100:38912,,,40,
1667340703.880189,10.10.1.100:38910,,,49,
1667340703.880401,10.10.1.100:38914,0,1,40,
1667340703.907269,10.10.1.100:38912,,,40,
1667340703.907520,10.10.1.100:38910,,,52,
1667340703.907735,10.10.1.100:38914,0,1,40,
1667340703.933784,10.10.1.100:38912,,,40,
1667340703.933998,10.10.1.100:38910,,,52,
1667340703.934211,10.10.1.100:38914,0,1,42,
1667340703.960329,10.10.1.100:38912,,,42,
1667340703.960543,10.10.1.100:38910,,,52,
1667340703.960755,10.10.1.100:38914,0,1,42,
1667340703.986765,10.10.1.100:38912,,,42,
1667340703.986985,10.10.1.100:38910,1,1,52,26
1667340703.987250,10.10.1.100:38914,0,1,42,
1667340704.013411,10.10.1.100:38912,,,42,
1667340704.013655,10.10.1.100:38910,2,2,47,26
1667340704.013870,10.10.1.100:38914,0,1,42,
1667340704.039884,10.10.1.100:38912,,,42,
1667340704.040087,10.10.1.100:38910,3,3,44,26
1667340704.040288,10.10.1.100:38914,0,1,42,
1667340704.066432,10.10.1.100:38912,,,42,
1667340704.066646,10.10.1.100:38910,4,4,41,26
1667340704.066858,10.10.1.100:38914,0,1,42,
1667340704.092972,10.10.1.100:38912,,,42,
1667340704.093191,10.10.1.100:38910,5,5,38,26
1667340704.093447,10.10.1.100:38914,0,1,42,
1667340704.119642,10.10.1.100:38912,,,42,
1667340704.119860,10.10.1.100:38910,6,6,35,26
1667340704.120075,10.10.1.100:38914,0,1,42,
1667340704.146388,10.10.1.100:38912,1,1,42,21
1667340704.146605,10.10.1.100:38910,7,7,35,26
1667340704.146819,10.10.1.100:38914,0,1,42,
1667340704.172771,10.10.1.100:38912,2,2,39,21
1667340704.172991,10.10.1.100:38910,7,7,35,26
1667340704.173229,10.10.1.100:38914,0,1,42,
1667340704.199406,10.10.1.100:38912,3,3,37,21
1667340704.199616,10.10.1.100:38910,7,7,35,26
1667340704.199788,10.10.1.100:38914,0,1,42,
1667340704.225812,10.10.1.100:38912,4,4,34,21
